col,d_types
HI_INC_UNKN_4YR_TRANS_YR2_RT,float64
HI_INC_UNKN_2YR_TRANS_YR2_RT,float64
DEP_DEATH_YR2_RT,float64
DEP_COMP_ORIG_YR2_RT,float64
DEP_COMP_4YR_TRANS_YR2_RT,float64
DEP_COMP_2YR_TRANS_YR2_RT,float64
DEP_WDRAW_ORIG_YR2_RT,float64
DEP_WDRAW_4YR_TRANS_YR2_RT,float64
DEP_WDRAW_2YR_TRANS_YR2_RT,float64
DEP_ENRL_ORIG_YR2_RT,float64
DEP_ENRL_4YR_TRANS_YR2_RT,float64
DEP_ENRL_2YR_TRANS_YR2_RT,float64
DEP_UNKN_ORIG_YR2_RT,float64
DEP_UNKN_4YR_TRANS_YR2_RT,float64
DEP_UNKN_2YR_TRANS_YR2_RT,float64
IND_DEATH_YR2_RT,float64
IND_COMP_ORIG_YR2_RT,float64
IND_COMP_4YR_TRANS_YR2_RT,float64
IND_COMP_2YR_TRANS_YR2_RT,float64
IND_WDRAW_ORIG_YR2_RT,float64
IND_WDRAW_4YR_TRANS_YR2_RT,float64
IND_WDRAW_2YR_TRANS_YR2_RT,float64
IND_ENRL_ORIG_YR2_RT,float64
IND_ENRL_4YR_TRANS_YR2_RT,float64
IND_ENRL_2YR_TRANS_YR2_RT,float64
IND_UNKN_ORIG_YR2_RT,float64
IND_UNKN_4YR_TRANS_YR2_RT,float64
IND_UNKN_2YR_TRANS_YR2_RT,float64
FEMALE_DEATH_YR2_RT,float64
FEMALE_COMP_ORIG_YR2_RT,float64
FEMALE_COMP_4YR_TRANS_YR2_RT,float64
FEMALE_COMP_2YR_TRANS_YR2_RT,float64
FEMALE_WDRAW_ORIG_YR2_RT,float64
FEMALE_WDRAW_4YR_TRANS_YR2_RT,float64
FEMALE_WDRAW_2YR_TRANS_YR2_RT,float64
FEMALE_ENRL_ORIG_YR2_RT,float64
FEMALE_ENRL_4YR_TRANS_YR2_RT,float64
FEMALE_ENRL_2YR_TRANS_YR2_RT,float64
FEMALE_UNKN_ORIG_YR2_RT,float64
FEMALE_UNKN_4YR_TRANS_YR2_RT,float64
FEMALE_UNKN_2YR_TRANS_YR2_RT,float64
MALE_DEATH_YR2_RT,float64
MALE_COMP_ORIG_YR2_RT,float64
MALE_COMP_4YR_TRANS_YR2_RT,float64
MALE_COMP_2YR_TRANS_YR2_RT,float64
MALE_WDRAW_ORIG_YR2_RT,float64
MALE_WDRAW_4YR_TRANS_YR2_RT,float64
MALE_WDRAW_2YR_TRANS_YR2_RT,float64
MALE_ENRL_ORIG_YR2_RT,float64
MALE_ENRL_4YR_TRANS_YR2_RT,float64
MALE_ENRL_2YR_TRANS_YR2_RT,float64
MALE_UNKN_ORIG_YR2_RT,float64
MALE_UNKN_4YR_TRANS_YR2_RT,float64
MALE_UNKN_2YR_TRANS_YR2_RT,float64
PELL_DEATH_YR2_RT,float64
PELL_COMP_ORIG_YR2_RT,float64
PELL_COMP_4YR_TRANS_YR2_RT,float64
PELL_COMP_2YR_TRANS_YR2_RT,float64
PELL_WDRAW_ORIG_YR2_RT,float64
PELL_WDRAW_4YR_TRANS_YR2_RT,float64
PELL_WDRAW_2YR_TRANS_YR2_RT,float64
PELL_ENRL_ORIG_YR2_RT,float64
PELL_ENRL_4YR_TRANS_YR2_RT,float64
PELL_ENRL_2YR_TRANS_YR2_RT,float64
